Date,Open,High,Low,Close,Volume,month,is_roll_switch,daily_change,typical_change,roll_gap,cum_adjustment,Adj_Close_Futures,futures_ret
2000-07-17,248.0,248.0,243.75,244.0,7233,7,True,,,0.0,-152.5,91.5,
2000-07-18,244.25,247.5,241.0,241.25,6523,7,False,-2.75,,0.0,-152.5,88.75,-0.030054644808743203
2000-07-19,241.25,246.0,239.0,245.0,7136,7,False,3.75,-0.375,0.0,-152.5,92.5,0.04225352112676051
2000-07-20,244.0,247.5,244.0,247.0,3792,7,False,2.0,2.0,0.0,-152.5,94.5,0.021621621621621623
2000-07-21,247.0,248.5,246.5,247.25,4380,7,False,0.25,0.125,0.0,-152.5,94.75,0.002645502645502562
2000-07-24,247.25,249.5,242.5,245.5,4393,7,False,-1.75,0.125,0.0,-152.5,93.0,-0.01846965699208447
2000-07-25,244.75,247.0,243.0,245.5,5973,7,False,0.0,-1.5,0.0,-152.5,93.0,0.0
2000-07-26,245.5,247.5,243.0,244.25,3755,7,False,-1.25,0.75,0.0,-152.5,91.75,-0.013440860215053752
2000-07-27,244.25,247.75,244.25,245.75,5397,7,False,1.5,0.75,0.0,-152.5,93.25,0.016348773841961872
2000-07-28,246.0,252.0,246.0,248.5,5698,7,False,2.75,-0.5,0.0,-152.5,96.0,0.029490616621983934
2000-07-31,247.75,248.25,245.25,246.0,6131,7,False,-2.5,0.875,0.0,-152.5,93.5,-0.02604166666666663
2000-08-01,246.25,249.75,242.5,245.0,6981,8,False,-1.0,-0.5,0.0,-152.5,92.5,-0.010695187165775444
2000-08-02,245.0,247.25,244.5,246.5,5729,8,False,1.5,-2.625,0.0,-152.5,94.0,0.016216216216216273
2000-08-03,246.25,247.5,241.75,242.25,7054,8,False,-4.25,-2.125,0.0,-152.5,89.75,-0.04521276595744683
2000-08-04,241.5,241.5,236.5,236.5,6080,8,False,-5.75,-3.625,0.0,-152.5,84.0,-0.06406685236768805
2000-08-07,237.0,239.75,233.0,233.5,6493,8,False,-3.0,-1.375,0.0,-152.5,81.0,-0.0357142857142857
2000-08-08,234.5,237.0,234.0,236.5,8204,8,False,3.0,-2.0,0.0,-152.5,84.0,0.03703703703703698
2000-08-09,236.0,237.5,233.5,235.5,7031,8,False,-1.0,1.625,0.0,-152.5,83.0,-0.011904761904761862
2000-08-10,235.5,238.0,235.0,235.75,10411,8,False,0.25,0.0,0.0,-152.5,83.25,0.003012048192771122
2000-08-11,236.0,238.0,232.5,236.75,7029,8,False,1.0,1.0,0.0,-152.5,84.25,0.012012012012011963
2000-08-14,237.0,239.0,236.0,238.5,2579,8,False,1.75,1.5,0.0,-152.5,86.0,0.020771513353115667
2000-08-15,239.0,241.5,238.25,240.5,3775,8,False,2.0,2.375,0.0,-152.5,88.0,0.023255813953488413
2000-08-16,241.0,244.5,241.0,243.5,6007,8,False,3.0,-1.0,0.0,-152.5,91.0,0.03409090909090917
2000-08-17,244.75,245.5,238.5,239.5,4709,8,False,-4.0,1.0,0.0,-152.5,87.0,-0.04395604395604391
2000-08-18,239.5,241.25,237.5,238.5,5945,8,False,-1.0,-3.125,0.0,-152.5,86.0,-0.011494252873563204
2000-08-21,238.75,238.75,234.0,236.25,5510,8,False,-2.25,-1.25,0.0,-152.5,83.75,-0.026162790697674465
2000-08-22,236.5,238.0,234.5,234.75,5745,8,False,-1.5,-1.625,0.0,-152.5,82.25,-0.017910447761193993
2000-08-23,234.75,235.25,232.0,233.75,3472,8,False,-1.0,2.625,0.0,-152.5,81.25,-0.012158054711246202
2000-08-24,234.0,240.5,233.75,240.5,8565,8,False,6.75,0.0,0.0,-152.5,88.0,0.08307692307692305
2000-08-25,240.0,244.25,240.0,241.5,8198,8,False,1.0,3.875,0.0,-152.5,89.0,0.011363636363636465
2000-08-28,245.0,247.0,241.5,242.5,7918,8,False,1.0,4.375,0.0,-152.5,90.0,0.011235955056179803
2000-08-29,243.5,251.0,243.5,250.25,10671,8,False,7.75,-1.5,0.0,-152.5,97.75,0.08611111111111103
2000-08-30,249.0,250.75,245.75,246.25,9,8,False,-4.0,6.25,0.0,-152.5,93.75,-0.04092071611253201
2000-08-31,248.0,251.0,248.0,251.0,11,8,False,4.75,-2.0,0.0,-152.5,98.5,0.05066666666666664
2000-09-01,250.75,251.75,250.75,251.0,11,9,True,0.0,2.0,-2.0,-150.5,100.5,0.020304568527918843
2000-09-05,250.75,251.0,250.75,250.25,11,9,False,-0.75,1.375,0.0,-150.5,99.75,-0.007462686567164201
2000-09-06,250.75,251.0,250.75,253.0,11,9,False,2.75,-2.125,0.0,-150.5,102.5,0.027568922305764465
2000-09-08,250.75,251.0,250.75,249.5,11,9,False,-3.5,1.875,0.0,-150.5,99.0,-0.034146341463414664
2000-09-11,250.75,251.0,250.75,250.5,11,9,False,1.0,-2.375,0.0,-150.5,100.0,0.010101010101010166
2000-09-12,250.75,251.0,250.75,249.25,4,9,False,-1.25,-1.625,0.0,-150.5,98.75,-0.012499999999999956
2000-09-13,250.75,251.0,250.75,245.0,4,9,False,-4.25,-2.125,0.0,-150.5,94.5,-0.04303797468354431
2000-09-14,250.75,251.0,250.75,242.0,100,9,False,-3.0,4.125,0.0,-150.5,91.5,-0.031746031746031744
2000-09-15,254.0,254.5,253.5,254.5,199,9,False,12.5,-2.625,0.0,-150.5,104.0,0.13661202185792343
2000-09-18,253.5,253.5,252.0,252.25,112,9,False,-2.25,8.375,0.0,-150.5,101.75,-0.02163461538461542
2000-09-19,256.0,256.5,255.25,256.5,173,9,False,4.25,-5.375,0.0,-150.5,106.0,0.041769041769041726
2000-09-20,248.75,249.25,248.0,248.0,384,9,False,-8.5,1.625,0.0,-150.5,97.5,-0.08018867924528306
2000-09-21,248.75,250.0,247.0,247.0,101,9,False,-1.0,-4.0,0.0,-150.5,96.5,-0.01025641025641022
2000-09-22,247.25,248.25,246.75,247.5,278,9,False,0.5,3.25,0.0,-150.5,97.0,0.005181347150259086
2000-09-25,251.5,255.0,251.5,255.0,55,9,False,7.5,-0.125,0.0,-150.5,104.5,0.07731958762886593
2000-09-26,253.75,254.5,253.25,254.25,122,9,False,-0.75,3.125,0.0,-150.5,103.75,-0.0071770334928229484
2000-09-27,254.75,255.0,253.0,253.0,269,9,False,-1.25,3.0,0.0,-150.5,102.5,-0.012048192771084376
2000-09-28,258.75,259.75,258.5,259.75,229,9,False,6.75,-1.5,0.0,-150.5,109.25,0.06585365853658542
2000-09-29,259.25,259.5,258.0,258.0,843,9,False,-1.75,9.625,0.0,-150.5,107.5,-0.016018306636155555
2000-10-02,265.5,272.0,265.5,270.5,142,10,False,12.5,-1.625,0.0,-150.5,120.0,0.11627906976744184
2000-10-03,267.25,269.0,266.0,269.0,176,10,False,-1.5,5.125,0.0,-150.5,118.5,-0.012499999999999956
2000-10-04,268.0,268.5,266.75,266.75,306,10,False,-2.25,-1.5,0.0,-150.5,116.25,-0.01898734177215189
2000-10-05,266.5,267.5,265.25,265.25,48,10,False,-1.5,-0.5,0.0,-150.5,114.75,-0.012903225806451646
2000-10-06,267.0,267.5,266.0,266.5,436,10,False,1.25,-0.25,0.0,-150.5,116.0,0.01089324618736387
2000-10-09,269.25,269.25,267.5,267.5,61,10,False,1.0,0.375,0.0,-150.5,117.0,0.008620689655172376
2000-10-10,267.5,268.0,266.5,267.0,252,10,False,-0.5,3.75,0.0,-150.5,116.5,-0.004273504273504258
2000-10-11,275.25,275.5,273.5,273.5,292,10,False,6.5,1.625,0.0,-150.5,123.0,0.05579399141630903
2000-10-12,276.75,277.25,275.0,277.25,218,10,False,3.75,1.0,0.0,-150.5,126.75,0.030487804878048808
2000-10-13,272.5,273.25,272.0,272.75,301,10,False,-4.5,-1.5,0.0,-150.5,122.25,-0.035502958579881616
2000-10-16,267.0,270.0,265.5,266.0,210,10,False,-6.75,0.5,0.0,-150.5,115.5,-0.05521472392638038
2000-10-17,271.0,274.0,271.0,271.5,55,10,False,5.5,-5.75,0.0,-150.5,121.0,0.04761904761904767
2000-10-18,268.0,270.0,266.75,266.75,176,10,False,-4.75,1.75,0.0,-150.5,116.25,-0.039256198347107474
2000-10-19,264.0,264.75,263.5,264.75,195,10,False,-2.0,-5.0,0.0,-150.5,114.25,-0.017204301075268824
2000-10-20,259.75,261.0,258.5,259.5,114,10,False,-5.25,-0.75,0.0,-150.5,109.0,-0.045951859956236296
2000-10-23,260.0,260.0,259.0,260.0,51,10,False,0.5,-3.375,0.0,-150.5,109.5,0.004587155963302836
2000-10-24,257.75,258.5,257.25,258.5,72,10,False,-1.5,-0.75,0.0,-150.5,108.0,-0.013698630136986356
2000-10-25,257.5,257.75,256.5,256.5,52,10,False,-2.0,-1.25,0.0,-150.5,106.0,-0.01851851851851849
2000-10-26,255.0,256.0,254.75,255.5,44,10,False,-1.0,-0.625,0.0,-150.5,105.0,-0.009433962264150941
2000-10-27,256.5,257.5,256.25,256.25,137,10,False,0.75,1.625,0.0,-150.5,105.75,0.0071428571428571175
2000-10-30,259.0,260.5,258.25,260.5,110,10,False,4.25,-3.125,0.0,-150.5,110.0,0.04018912529550822
2000-10-31,256.0,256.0,253.5,253.5,154,10,False,-7.0,3.75,0.0,-150.5,103.0,-0.0636363636363636
2000-11-02,255.0,258.0,255.0,256.75,91,11,False,3.25,-1.125,0.0,-150.5,106.25,0.031553398058252524
2000-11-03,260.0,262.0,260.0,261.5,113,11,False,4.75,3.625,0.0,-150.5,111.0,0.04470588235294115
2000-11-06,264.0,265.5,263.75,265.5,127,11,False,4.0,0.375,0.0,-150.5,115.0,0.03603603603603611
2000-11-07,263.0,263.0,261.5,261.5,71,11,False,-4.0,2.875,0.0,-150.5,111.0,-0.034782608695652195
2000-11-08,263.25,263.5,262.25,263.25,153,11,False,1.75,-0.5,0.0,-150.5,112.75,0.015765765765765716
